category,accuracy,gt,correct
person,0.12886223191566704,11004,1418
bicycle,0.41139240506329117,316,130
car,0.21842650103519667,1932,422
motorcycle,0.7789757412398922,371,289
airplane,0.8321678321678322,143,119
bus,0.7192982456140351,285,205
train,0.8105263157894737,190,154
truck,0.344578313253012,415,143
boat,0.6093023255813953,430,262
traffic light,0.25117739403453687,637,160
fire hydrant,0.594059405940594,101,60
stop sign,0.64,75,48
parking meter,0.35,60,21
bench,0.1549636803874092,413,64
bird,0.4681818181818182,440,206
cat,0.5445544554455446,202,110
dog,0.38073394495412843,218,83
horse,0.7472527472527473,273,204
sheep,0.8060941828254847,361,291
cow,0.881578947368421,380,335
elephant,0.9803921568627451,255,250
bear,0.8732394366197183,71,62
zebra,0.9925373134328358,268,266
giraffe,0.9137931034482759,232,212
backpack,0.07816711590296496,371,29
umbrella,0.5036319612590799,413,208
handbag,0.1,540,54
tie,0.32677165354330706,254,83
suitcase,0.49504950495049505,303,150
frisbee,0.6608695652173913,115,76
skis,0.6514522821576764,241,157
snowboard,0.4927536231884058,69,34
sports ball,0.155893536121673,263,41
kite,0.5922619047619048,336,199
baseball bat,0.3150684931506849,146,46
baseball glove,0.6959459459459459,148,103
skateboard,0.7486033519553073,179,134
surfboard,0.6096654275092936,269,164
tennis racket,0.8977777777777778,225,202
bottle,0.1151219512195122,1025,118
wine glass,0.32653061224489793,343,112
cup,0.11568409343715239,899,104
fork,0.03255813953488372,215,7
knife,0.012269938650306749,326,4
spoon,0.02766798418972332,253,7
bowl,0.08626198083067092,626,54
banana,0.6754617414248021,379,256
apple,0.2384937238493724,239,57
sandwich,0.4632768361581921,177,82
orange,0.5121951219512195,287,147
broccoli,0.7943037974683544,316,251
carrot,0.3584905660377358,371,133
hot dog,0.48031496062992124,127,61
pizza,0.6631578947368421,285,189
donut,0.591715976331361,338,200
cake,0.7215189873417721,316,228
chair,0.08821887213847013,1791,158
couch,0.18773946360153257,261,49
potted plant,0.33819241982507287,343,116
bed,0.3987730061349693,163,65
dining table,0.18077474892395984,697,126
toilet,0.664804469273743,179,119
tv,0.125,288,36
laptop,0.3939393939393939,231,91
mouse,0.0,106,0
remote,0.1166077738515901,283,33
keyboard,0.42483660130718953,153,65
cell phone,0.20610687022900764,262,54
microwave,0.09090909090909091,55,5
oven,0.23776223776223776,143,34
toaster,0.1111111111111111,9,1
sink,0.1688888888888889,225,38
refrigerator,0.5396825396825397,126,68
book,0.12575366063738158,1161,146
clock,0.5430711610486891,267,145
vase,0.23104693140794225,277,64
scissors,0.3333333333333333,36,12
teddy bear,0.774869109947644,191,148
hair drier,0.5454545454545454,11,6
toothbrush,0.2982456140350877,57,17
